time,mean_G
1890,29.506
1891,29.52
1892,29.458
1893,29.406
1894,29.388
1895,29.386
1896,29.472
1897,29.436
1898,29.394
1899,29.38
1900,29.384
1901,29.384
1902,29.418
1903,29.468
1904,29.476
1905,29.492
1906,29.484
1907,29.524
1908,29.566
1909,29.622
1910,29.64
1911,29.664
1912,29.596
1913,29.606
1914,29.662
1915,29.666
1916,29.634
1917,29.682
1918,29.752
1919,29.744
1920,29.74
1921,29.73
1922,29.734
1923,29.764
1924,29.824
1925,29.86
1926,29.876
1927,29.822
1928,29.796
1929,29.742
1930,29.694
1931,29.64
1932,29.666
1933,29.688
1934,29.692
1935,29.698
1936,29.67
1937,29.602
1938,29.644
1939,29.612
1940,29.6
1941,29.624
1942,29.604
1943,29.622
1944,29.606
1945,29.626
1946,29.628
1947,29.636
1948,29.626
1949,29.666
1950,29.658
1951,29.68
1952,29.64
1953,29.58
1954,29.58
1955,29.554
1956,29.604
1957,29.644
1958,29.678
1959,29.668
1960,29.682
1961,29.7
1962,29.688
1963,29.696
1964,29.714
1965,29.714
1966,29.676
1967,29.628
1968,29.608
1969,29.584
1970,29.61
1971,29.538
1972,29.582
1973,29.584
1974,29.584
1975,29.536
1976,29.514
1977,29.524
1978,29.52
1979,29.56
1980,29.55
1981,29.536
1982,29.494
1983,29.506
1984,29.456
1985,29.52
1986,29.48
1987,29.484
1988,29.506
1989,29.464
1990,29.478
1991,29.466
1992,29.4
1993,29.41
1994,29.378
1995,29.372
1996,29.352
1997,29.374
1998,29.35
1999,29.29
2000,29.28
2001,29.238
2002,29.24
2003,29.248
2004,29.286
2005,29.322
2006,29.356
2007,29.346
2008,29.28
2009,29.266
2010,29.298
2011,29.27
2012,29.288
2013,29.31
2014,29.296
2015,29.332
2016,29.354
2017,29.384
2018,29.384
2019,29.4
2020,29.402
2021,29.392
2022,29.388
2023,29.384
2024,29.404
2025,29.358
2026,29.374
2027,29.412
2028,29.446
2029,29.444
2030,29.474
2031,29.444
2032,29.496
2033,29.568
2034,29.542
2035,29.54
2036,29.556
2037,29.56
2038,29.57
2039,29.554
2040,29.548
2041,29.506
2042,29.476
2043,29.41
2044,29.384
2045,29.388
2046,29.37
2047,29.342
2048,29.292
2049,29.394
2050,29.376
2051,29.37
2052,29.316
2053,29.414
2054,29.32
2055,29.342
2056,29.348
2057,29.412
2058,29.42
